模块,任务类型,代办事项,相关人,负责人,进度
课程设计,长期任务,三藏翻译课设计文案,,,制作中
课程设计,,头衔考试专项训练设计文案,,Dhammadassi,""
课程设计,,短期普法学修营设计文案,,,""
考试设计,,翻译实战考试,,,""
考试设计,,历年真题收集,,Dhammadassi,""
考试设计,,真题题库制作,,Kosalla,""
考试设计,,智能组卷编辑器,,Visuddhinanda,""
老师,,教学理念与办学目的的文案完善,,,""
老师,,wikipali使用手册,,,""
老师,,师资力量（Dawei本地）,,,""
老师,,师资力量（缅甸境内）,,,""
老师,,师资力量（国外）,,,""
设施,,临时教室落实,,,""
设施,,正式教室设计,,,""
设施,,正式教室建造,,,""
设施,,临时宿舍落实,,,""
设施,,正式宿舍设计,,,""
设施,,正式宿舍建造,,,""
设施,,设备列表文案,,,""
设施,,设备采购,,,""
后勤,,护持团队人员构成,,,""
后勤,,本地净人名单,,,""
后勤,,国外净人名单,,,""
学生,,外国生源要求文案,,,""
学生,,本地生源要求文案,,,""
学生,,短期学修营招生文案,,,""
学生,,少年班招生文案,,,""
学生,,青年班招生文案,,,""